anno,geometry,accident_count
2018,POINT (663705.7489408714 5106011.143950467),1
2018,POINT (663584.9233332619 5103803.779166667),1
2018,POINT (663584.4746693362 5106279.671023806),1
2019,POINT (664157.1442146188 5104649.066932349),1
2018,POINT (664527.2773351477 5103899.910008943),1
2018,POINT (663896.94726374 5103249.979676379),1
2018,POINT (664255.2717285438 5104718.957274734),1
2019,POINT (664736.4918407021 5106690.269855006),1
2018,POINT (662582.2104455044 5095686.852219705),1
2018,POINT (663373.4022996909 5105123.8799199555),1
2019,POINT (661330.5364548226 5108912.990807027),1
2019,POINT (662985.091246917 5107952.573629169),1
2019,POINT (663068.511834025 5104604.984604773),1
2019,POINT (664035.7982542769 5104199.296758942),1
2019,POINT (662100.0101796271 5106858.071119749),1
2019,POINT (663409.980594092 5105354.170032656),1
2019,POINT (663425.2622549613 5111250.2282272745),1
2019,POINT (663680.4328553075 5106307.292721844),1
2019,POINT (665092.0599751166 5100389.369352255),1
2019,POINT (665745.3283443984 5104671.120800312),1
2018,POINT (664445.7040083421 5100219.871441944),1
2018,POINT (659202.9132382212 5104892.622876924),1
2019,POINT (662347.8302527216 5103251.131722784),1
2018,POINT (664213.6213324014 5104593.660491802),1
2018,POINT (664264.0086901351 5104382.387957724),1
2019,POINT (662581.6482488337 5106187.555329705),1
2018,POINT (663435.2946788495 5103951.68290552),1
2018,POINT (663383.4453471719 5103704.925915964),1
2019,POINT (662827.8500165784 5104349.183493165),1
2018,POINT (663303.5707728218 5104674.209311462),1
2018,POINT (665215.6375734097 5103652.603235184),1
2019,POINT (664992.7771772939 5102746.658903576),1
2018,POINT (663943.0420015559 5106341.952246629),1
2018,POINT (659325.0611194794 5104803.329464826),1
2019,POINT (662728.0609269051 5105947.218066096),1
2018,POINT (666514.3241691297 5104902.851980658),1
2019,POINT (663252.8227947113 5102177.228008555),1
2018,POINT (663296.9516667621 5104794.4325000085),1
2019,POINT (665055.1393963528 5099615.3364615375),1
2018,POINT (663696.6520737959 5107379.964788339),1
2019,POINT (664650.4804564043 5102505.57784604),1
2018,POINT (663828.4452059629 5103931.129473175),1
2019,POINT (664313.6710373445 5104266.3492738595),1
2018,POINT (658246.4833332886 5105130.352499907),1
2019,POINT (664384.983900415 5104239.2017634865),1
2018,POINT (664586.7414790046 5102680.893432348),1
2019,POINT (663934.699617082 5105796.594928856),1
2019,POINT (663290.5527256454 5107794.163846458),1
2019,POINT (664508.6843014495 5103053.0197541),1
2019,POINT (664755.9595155681 5105614.9354574),1
2019,POINT (664246.4746121553 5103272.812446432),1
2019,POINT (663628.7319991181 5106417.722926708),1
2019,POINT (663478.4486656312 5106492.44126012),1
2019,POINT (666139.9726057543 5102162.143379081),1
2019,POINT (664266.0501399689 5102530.059828928),1
2019,POINT (662771.1079418636 5108915.066098579),1
2019,POINT (663113.8348687759 5104606.17949559),1
2019,POINT (663390.888162863 5104703.364946836),1
2019,POINT (664093.4160269652 5103319.638339211),1
2019,POINT (665092.7996736803 5105532.728122994),1
2019,POINT (664528.0288758847 5102805.838803676),1
2019,POINT (664468.2669751167 5103743.671345255),1
2018,POINT (663551.3333211589 5105358.741641095),1
2019,POINT (663779.9221003111 5102030.683120917),1
2019,POINT (664324.1432029156 5104392.67131134),1
2019,POINT (664435.0425053687 5102878.857190971),1
2019,POINT (663276.0598143154 5104777.823954098),1
2019,POINT (666486.5191696879 5103188.340231543),1
2019,POINT (664081.6572417882 5104281.014734889),1
2019,POINT (663461.325008735 5106770.829282266),1
2019,POINT (663421.4814556073 5099439.339986118),1
2019,POINT (665082.1966671852 5097647.621867806),1
2019,POINT (663484.9718850524 5105496.53042375),1
2019,POINT (663865.2856858524 5103726.93539439),1
2019,POINT (664270.1845181535 5103625.4705274915),1
2019,POINT (664305.3151105577 5100517.946352995),1
2019,POINT (666573.2842168879 5104926.3809972415),1
2019,POINT (664162.5934117087 5106184.068213487),1
2019,POINT (665240.5061123343 5103220.014601619),1
2019,POINT (664570.0072669161 5102741.862807928),1
2019,POINT (663458.1516666041 5106552.6558331875),1
2019,POINT (664396.9214968897 5103047.041017497),1
2019,POINT (664549.9036735082 5103990.44498462),1
2019,POINT (663531.1305719971 5101288.672306346),1
2019,POINT (664572.2467029548 5101539.256255306),1
2019,POINT (664269.8266666482 5104687.867499987),1
2019,POINT (661045.1639213877 5105162.516175054),1
2019,POINT (663902.2524100143 5102070.627532792),1
2019,POINT (664310.8347302907 5104273.304979254),1
2019,POINT (664388.6305809129 5104237.175829876),1
2019,POINT (664220.3233310145 5102974.898122168),1
2019,POINT (665029.0707478708 5103321.963802112),1
2019,POINT (663793.7432235329 5104502.371933799),1
2019,POINT (664256.1988557598 5104491.028636651),1
2019,POINT (660196.1344490743 5093511.375909514),1
2019,POINT (664548.8552760498 5103983.974070374),1
2019,POINT (663085.6078375106 5106817.873092256),1
2019,POINT (666578.0527799382 5104906.744770605),1
2019,POINT (663972.485396992 5102662.687100472),1
2019,POINT (665045.7666719357 5100051.973462433),1
2019,POINT (661730.173013576 5107882.732962451),1
2019,POINT (663353.636191679 5105076.904033827),1
2019,POINT (664265.9589032045 5104217.758604224),1
2019,POINT (662596.6190320764 5106593.409095272),1
2019,POINT (664444.6338195958 5102902.8160116635),1
2019,POINT (664865.3852292424 5106513.682848526),1
2019,POINT (663891.6924888394 5105563.494827685),1
2019,POINT (664286.7873702561 5100497.18555251),1
2019,POINT (664477.3132826277 5103737.786143165),1
2019,POINT (663860.3809597504 5105571.9542874135),1
2019,POINT (663624.5050000679 5105246.950833332),1
2019,POINT (663029.2810341939 5107198.536096465),1
2019,POINT (663393.3868191453 5102058.083572845),1
2019,POINT (665725.6658979197 5101498.272650842),1
2019,POINT (662815.5200407149 5110087.760919342),1
2019,POINT (662898.2964313219 5107294.766835014),1
2019,POINT (666023.9627316585 5101665.261053575),1
2019,POINT (663105.6933329988 5103941.045833138),1
2019,POINT (661502.4554031419 5108834.492992),1
2019,POINT (664131.0464318211 5104656.610537818),1
2018,POINT (663873.9276264308 5105574.600120749),1
