osmid,y,x,street_count,highway,ref,geometry,lts,message
6367436345,44.5044482,11.4064944,3,,,POINT (11.4064944 44.5044482),,Node not found in edges
6367436351,44.5052451,11.4073668,1,,,POINT (11.4073668 44.5052451),,Node not found in edges
6367436352,44.5044767,11.4064022,3,,,POINT (11.4064022 44.5044767),,Node not found in edges
6367436364,44.5047347,11.4055539,3,,,POINT (11.4055539 44.5047347),,Node not found in edges
6367436365,44.5049847,11.4054078,1,,,POINT (11.4054078 44.5049847),,Node not found in edges
6367443346,44.4650128,11.3827462,3,,,POINT (11.3827462 44.4650128),3.0,Node LTS is max intersecting LTS
6367443348,44.4657068,11.3826083,1,,,POINT (11.3826083 44.4657068),,Node not found in edges
6367443349,44.4653169,11.3809332,3,,,POINT (11.3809332 44.4653169),3.0,Node LTS is max intersecting LTS
6367443353,44.4660442,11.3812426,1,,,POINT (11.3812426 44.4660442),,Node not found in edges
6367443355,44.4682302,11.3822036,3,,,POINT (11.3822036 44.4682302),2.0,Node LTS is max intersecting LTS
6367443361,44.4679916,11.3822158,3,,,POINT (11.3822158 44.4679916),,Node not found in edges
6367443362,44.4676758,11.3839056,1,,,POINT (11.3839056 44.4676758),,Node not found in edges
6367529897,44.5119244,11.2819353,3,,,POINT (11.2819353 44.5119244),,Node not found in edges
6367529903,44.5117537,11.2828642,3,,,POINT (11.2828642 44.5117537),,Node not found in edges
6367529912,44.5114188,11.282408,3,,,POINT (11.282408 44.5114188),,Node not found in edges
6367529915,44.5126307,11.2834856,3,,,POINT (11.2834856 44.5126307),,Node not found in edges
6367529916,44.5122031,11.2828682,3,,,POINT (11.2828682 44.5122031),,Node not found in edges
6367529920,44.5124502,11.2800816,3,,,POINT (11.2800816 44.5124502),2.0,Node LTS is max intersecting LTS
6367529925,44.5122131,11.2798385,3,,,POINT (11.2798385 44.5122131),2.0,Node LTS is max intersecting LTS
6367958003,44.5305021,11.4089814,3,,,POINT (11.4089814 44.5305021),3.0,Node LTS is max intersecting LTS
6367958022,44.5295387,11.4082595,3,,,POINT (11.4082595 44.5295387),3.0,Node LTS is max intersecting LTS
6368744385,44.4906093,11.3213152,3,,,POINT (11.3213152 44.4906093),2.0,Node LTS is max intersecting LTS
6368847319,44.5065774,11.3063928,3,,,POINT (11.3063928 44.5065774),3.0,Node LTS is max intersecting LTS
6368847321,44.5070142,11.3066277,1,,,POINT (11.3066277 44.5070142),,Node not found in edges
6368847323,44.5085335,11.3083739,3,,,POINT (11.3083739 44.5085335),2.0,Node LTS is max intersecting LTS
6368847325,44.5077175,11.3079569,3,,,POINT (11.3079569 44.5077175),,Node not found in edges
6368847329,44.5080845,11.3081444,4,,,POINT (11.3081444 44.5080845),,Node not found in edges
6368847333,44.5087012,11.3077477,3,,,POINT (11.3077477 44.5087012),2.0,Node LTS is max intersecting LTS
6368847336,44.5084171,11.3083145,4,,,POINT (11.3083145 44.5084171),,Node not found in edges
6368847339,44.5083701,11.3089844,3,,,POINT (11.3089844 44.5083701),2.0,Node LTS is max intersecting LTS
6368847340,44.5067558,11.3064924,3,,,POINT (11.3064924 44.5067558),,Node not found in edges
6368847346,44.5072276,11.3065918,1,,,POINT (11.3065918 44.5072276),,Node not found in edges
6368875866,44.5134986,11.3008197,3,,,POINT (11.3008197 44.5134986),3.0,Node LTS is max intersecting LTS
6368875875,44.5145213,11.2991948,1,,,POINT (11.2991948 44.5145213),,Node not found in edges
6368875876,44.5131111,11.300257,3,,,POINT (11.300257 44.5131111),3.0,Node LTS is max intersecting LTS
6368875881,44.5135414,11.2993655,1,,,POINT (11.2993655 44.5135414),,Node not found in edges
6368939758,44.4889603,11.3602903,3,,,POINT (11.3602903 44.4889603),3.0,Node LTS is max intersecting LTS
6368939763,44.489287,11.360758,1,,,POINT (11.360758 44.489287),,Node not found in edges
6368939764,44.4888828,11.3577685,3,,,POINT (11.3577685 44.4888828),3.0,Node LTS is max intersecting LTS
6368939768,44.4889363,11.3584557,1,,,POINT (11.3584557 44.4889363),2.0,Node LTS is max intersecting LTS
6368939769,44.4884713,11.3578068,3,,,POINT (11.3578068 44.4884713),3.0,Node LTS is max intersecting LTS
6368939772,44.4885182,11.3587704,1,,,POINT (11.3587704 44.4885182),,Node not found in edges
